USPS,GEO_ID,NAME,LAT,LON
AL,100190171,Autaugaville CCD,32.457413,-86.729003
AL,100190315,Billingsley CCD,32.606138,-86.748985
AL,100192106,Marbury CCD,32.639324,-86.526071
AL,100192628,Prattville CCD,32.479786,-86.506496
AL,100390207,Bay Minette CCD,30.809659,-87.706187
AL,100390846,Daphne CCD,30.667431,-87.906222
AL,100390963,Elberta CCD,30.406946,-87.518884
AL,100391053,Fairhope CCD,30.466855,-87.912303
AL,100391152,Foley CCD,30.3586,-87.831463
AL,100392754,Robertsdale CCD,30.556714,-87.643188
AL,100393024,Stockton CCD,31.110476,-87.786871
AL,100393042,Summerdale CCD,30.489699,-87.67673
AL,100590189,Bakerhill CCD,31.763418,-85.271865
AL,100590630,Clayton CCD,31.922275,-85.449831
AL,100590648,Clio CCD,31.679443,-85.55772
AL,100591017,Eufaula CCD,32.000976,-85.243602
AL,100591989,Louisville CCD,31.790893,-85.567051
AL,100790531,Centreville-Brent CCD,32.931869,-87.14378
AL,100792601,Piper-Coleanor CCD,33.065223,-86.996632
AL,100793438,West Blocton CCD,33.120326,-87.136978
AL,100990333,Blountsville CCD,34.033624,-86.637318
AL,100990414,Brooksville CCD,34.166034,-86.497174
AL,100990612,Clarence CCD,34.076531,-86.390499
AL,100990639,Cleveland CCD,33.997435,-86.544238
AL,100991557,Hayden CCD,33.896247,-86.812872
AL,100991953,Locust Fork CCD,33.840429,-86.635412
AL,100992439,Oneonta CCD,33.904424,-86.460343
AL,101191098,Fitzpatrick CCD,32.167144,-85.904292
AL,101191701,Inverness CCD,31.97759,-85.750892
AL,101192133,Midway CCD,32.115727,-85.526734
AL,101193249,Union Springs CCD,32.156702,-85.701532
AL,101390540,Chapman CCD,31.716324,-86.753322
AL,101391170,Forest Home CCD,31.861798,-86.760811
AL,101391314,Georgiana-McKenzie CCD,31.592237,-86.70981
AL,101391422,Greenville CCD,31.812161,-86.554773
AL,101590066,Alexandria-Webster Chapel CCD,33.846742,-85.891331
AL,101590099,Anniston CCD,33.671051,-85.876956
AL,101590585,Choccolocco CCD,33.738267,-85.681293
AL,101591746,Jacksonville CCD,33.868108,-85.763933
AL,101592430,Ohatchee CCD,33.768761,-86.037236
AL,101592556,Piedmont CCD,33.916941,-85.639599
AL,101791107,Five Points CCD,33.037753,-85.332886
AL,101791818,La Fayette CCD,32.893523,-85.444009
AL,101791827,Lanett CCD,32.889494,-85.26375
AL,101792169,Milltown CCD,33.04344,-85.51457
AL,101793272,Valley CCD,32.78641,-85.244134
AL,101793393,Waverly CCD,32.784893,-85.506282
AL,101990513,Cedar Bluff-Gaylesville CCD,34.305264,-85.554226
AL,101990522,Centre CCD,34.069515,-85.654242
AL,101991854,Leesburg CCD,34.199154,-85.757837
AL,101992983,Spring Garden CCD,34.086172,-85.506889
AL,102190603,Clanton CCD,32.852272,-86.60143
AL,102191710,Isabella-Pletcher CCD,32.77273,-86.736381
AL,102191764,Jemison CCD,32.975998,-86.783081
AL,102192097,Maplesville CCD,32.768987,-86.895464
AL,102192178,Mineral Springs CCD,32.97092,-86.606179
AL,102193285,Verbena CCD,32.75929,-86.525923
AL,102390441,Butler CCD,32.065501,-88.212752
AL,102391332,Gilbertown-Toxey CCD,31.940313,-88.34451
AL,102391908,Lisman CCD,32.274176,-88.215041
AL,102392925,Silas CCD,31.759107,-88.301664
AL,102590675,Coffeeville CCD,31.839165,-88.057935
AL,102591260,Fulton CCD,31.792901,-87.642515
AL,102591440,Grove Hill CCD,31.617017,-87.697977
AL,102591726,Jackson CCD,31.619137,-87.918732
AL,102593132,Thomasville CCD,31.88561,-87.835098
AL,102593362,Walker Springs CCD,31.39711,-87.81892
AL,102790126,Ashland CCD,33.218176,-85.786307
AL,102791899,Lineville CCD,33.387278,-85.769061
AL,102792142,Millerville-Hollins CCD,33.177532,-86.02161
AL,102991251,Fruithurst CCD,33.820759,-85.472323
AL,102991593,Heflin CCD,33.60759,-85.608638
AL,102992682,Ranburne CCD,33.572983,-85.396107
AL,103190954,Elba CCD,31.415484,-86.081449
AL,103190999,Enterprise CCD,31.35936,-85.8693
AL,103191341,Goodman CCD,31.25571,-86.028762
AL,103191719,Jack CCD,31.562947,-86.056315
AL,103191800,Kinston CCD,31.272191,-86.150624
AL,103193303,Victoria CCD,31.537584,-85.898401
AL,103390567,Cherokee CCD,34.722246,-88.012808
AL,103391863,Leighton CCD,34.699953,-87.522976
AL,103391926,Littleville CCD,34.651461,-87.788504
AL,103393186,Tri-Cities CCD,34.726581,-87.642741
AL,103590504,Castleberry CCD,31.341127,-87.038752
AL,103591044,Evergreen CCD,31.373364,-86.855205
AL,103592016,Lyeffion CCD,31.586955,-86.998313
AL,103592718,Repton CCD,31.356576,-87.242943
AL,103592916,Shreve CCD,31.431041,-86.74107
AL,103791350,Goodwater-Kellyton CCD,32.992929,-86.073879
AL,103792763,Rockford CCD,32.824115,-86.206549
AL,103793429,Weogufka-Marble Valley CCD,32.996338,-86.318281
AL,103990090,Andalusia CCD,31.33076,-86.527061
AL,103991062,Falco CCD,31.119584,-86.587383
AL,103991134,Florala CCD,31.054744,-86.353383
AL,103992448,Opp CCD,31.257962,-86.263729
AL,103992781,Rose Hill-Gantt CCD,31.442065,-86.399891
AL,104190360,Brantley CCD,31.559343,-86.322308
AL,104192007,Luverne CCD,31.725666,-86.315392
AL,104192529,Petrey-Highland Home CCD,31.915035,-86.301808
AL,104390180,Baileyton-Joppa CCD,34.261634,-86.568311
AL,104390369,Bremen CCD,33.973744,-86.967988
AL,104390774,Crane Hill CCD,34.056964,-87.055157
AL,104390810,Cullman CCD,34.157575,-86.844828
AL,104391521,Hanceville CCD,34.027674,-86.794844
AL,104391647,Holly Pond CCD,34.156036,-86.636989
AL,104391773,Jones Chapel CCD,34.216179,-87.070728
AL,104391962,Logan CCD,34.158921,-86.957173
AL,104392934,Simcoe CCD,34.236831,-86.730183
AL,104393330,Vinemont CCD,34.278599,-86.8829
AL,104393420,Welti CCD,34.136377,-86.730364
AL,104590828,Daleville CCD,31.267466,-85.739358
AL,104590936,Echo CCD,31.490801,-85.461233
AL,104591215,Fort Rucker CCD,31.391473,-85.721454
AL,104592376,Newton-Midland City CCD,31.316176,-85.525755
AL,104592466,Ozark CCD,31.511957,-85.632805
AL,104790486,Carlowville CCD,32.128245,-87.049856
AL,104792457,Orrville CCD,32.325669,-87.21918
AL,104792808,Safford CCD,32.312073,-87.362481
AL,104792844,Sardis CCD,32.271645,-87.022536
AL,104792880,Selma CCD,32.492902,-87.002497
AL,104792883,Selmont-Tyler CCD,32.3291,-86.911108
AL,104990693,Collinsville CCD,34.232888,-85.901691
AL,104990792,Crossville CCD,34.257182,-86.025488
AL,104991206,Fort Payne CCD,34.409715,-85.737831
AL,104991269,Fyffe CCD,34.434084,-85.968723
AL,104991323,Geraldine CCD,34.351836,-86.001665
AL,104991611,Henagar CCD,34.623217,-85.720686
AL,104991692,Ider CCD,34.729342,-85.636709
AL,104992655,Rainsville-Sylvania CCD,34.514567,-85.819432
AL,104993276,Valley Head-Mentone CCD,34.615701,-85.581255
AL,105190855,Deatsville CCD,32.640711,-86.346148
AL,105190945,Eclectic CCD,32.670785,-85.995938
AL,105190972,Elmore CCD,32.505421,-86.353258
AL,105193087,Tallassee CCD,32.512019,-85.985882
AL,105193141,Titus CCD,32.694855,-86.222318
AL,105193456,Wetumpka CCD,32.541784,-86.169941
AL,105390153,Atmore CCD,31.053058,-87.460089
AL,105390378,Brewton CCD,31.15086,-87.129665
AL,105390927,East Escambia CCD,31.099257,-86.91059
AL,105391125,Flomaton CCD,31.108627,-87.279473
AL,105392034,McCullough-Huxford CCD,31.186053,-87.469446
AL,105590081,Altoona CCD,34.054488,-86.258455
AL,105591278,Gadsden CCD,33.977508,-86.05922
AL,105591638,Hokes Bluff CCD,34.018845,-85.825929
AL,105591980,Lookout Mountain CCD,34.134046,-85.919935
